"FACILITY_DOCUMENT_COST_ID","CWNS_ID","FACILITY_ID","STATE_CODE","DOCUMENT_ID","DOCUMENT_TYPE","NEEDS_CATEGORY","COST_METHOD","BASE_AMOUNT","OFFICIAL_AMOUNT","SOLUTION_YEAR_START","SOLUTION_YEAR_END","SSO_FLAG","TREATMENT_PLANT_TYPE","SSA_FLAG"
12941,"48000000103",3608783,"TX",1517,"1","IV-A","Documented",6000000,6149568,,,"N","Other",""
4446,"48002031001",1183125,"TX",1517,"1","III-A","Documented",35876000,36770317,,,"Y","Secondary Mechanical",""
18283,"48000000124",3609625,"TX",5419,"1","IV-A","Documented",38479173,36448959,,,"N","",""
18177,"48001112001",1182916,"TX",5419,"1","I","Documented",38640328,36601611,,,"N","",""
18274,"48001118001",1182919,"TX",5419,"1","I","Documented",3925000,3717912,,,"N","",""
18174,"48007423001",1227920,"TX",5419,"1","I","Documented",6359000,6023490,,,"N","",""
35620,"48007039090",1183855,"TX",12305,"20","I","Documented",36033889,34189942,,,"N","",""
35621,"48007039090",1183855,"TX",12305,"20","III-B","Documented",37687917,35759329,,,"Y","",""
35642,"48007039061",1183840,"TX",12305,"20","I","Documented",36033889,34189942,,,"N","",""
35643,"48007039061",1183840,"TX",12305,"20","III-B","Documented",37687917,35759329,,,"Y","",""
35654,"48007039017",1183828,"TX",12305,"20","I","Documented",36033889,34189942,,,"N","",""
35655,"48007039017",1183828,"TX",12305,"20","III-B","Documented",37687917,35759329,,,"Y","",""
12013,"48002138001",1227800,"TX",1517,"1","II","Documented",1741271,1784677,,,"Y","Aerated Lagoon",""
12014,"48002138001",1227800,"TX",1517,"1","III-A","Documented",3215729,3295891,,,"Y","Aerated Lagoon",""
12023,"48000000102",3608723,"TX",1517,"1","I","Documented",15703000,16094444,,,"N","",""
12026,"48006074001",1183728,"TX",1517,"1","II","Documented",23742900,24334763,,,"N","",""
11602,"48001111001",1182915,"TX",1517,"1","III-B","Documented",1600000,1639885,,,"N","Secondary Mechanical",""
12041,"48005025002",1183585,"TX",1517,"1","III-B","Documented",1775421,1819679,,,"Y","",""
12463,"48007033006",2881937,"TX",1517,"1","III-B","Documented",23760000,24352289,,,"Y","",""
12465,"48004207001",1227852,"TX",1517,"1","I","Documented",2404000,2463927,,,"Y","Aerated Lagoon",""
12466,"48004207001",1227852,"TX",1517,"1","III-B","Documented",1775000,1819247,,,"Y","Aerated Lagoon",""
12486,"48005053001",1227878,"TX",1517,"1","II","Documented",4000000,4099712,,,"Y","",""
12464,"48007033009",413590,"TX",1517,"1","III-B","Documented",3520000,3607747,,,"Y","",""
12515,"48001114001",1227764,"TX",1517,"1","II","Documented",51877000,53170190,,,"Y","Aerated Lagoon",""
12912,"48004065001",1183380,"TX",1517,"1","II","Documented",6333690,6491576,,,"N","Aerated Lagoon",""
14378,"48003290001",1227830,"TX",1517,"1","I","Documented",7530000,7717708,,,"Y","",""
13402,"48003001001",1183166,"TX",1517,"1","III-B","Documented",1470500,1507157,,,"N","Lagoon",""
13381,"48005025002",1183585,"TX",5327,"1","I","Documented",31536000,34039034,,,"N","Aerated Lagoon",""
12495,"48006047002",1183710,"TX",1517,"1","III-B","Documented",2790540,2860103,,,"Y","Aerated Lagoon",""
13414,"48003069001",1183223,"TX",5419,"1","II","Documented",29719000,28150985,,,"N","Lagoon",""
13403,"48003001001",1183166,"TX",5419,"1","I","Documented",13078000,12387987,,,"N","Lagoon",""
20907,"48007423001",1227920,"TX",5419,"1","III-B","Documented",711000,673487,,,"N","",""
13201,"48005025001",1183584,"TX",5327,"1","III-B","Documented",4580000,4943518,,,"N","",""
12896,"48001012001",1182883,"TX",1517,"1","II","Documented",4627026,4742369,,,"N","Aerated Lagoon",""
12913,"48004065001",1183380,"TX",1517,"1","III-B","Documented",4772520,4891489,,,"Y","Not Applicable",""
12462,"48007033001",1183814,"TX",1517,"1","III-B","Documented",7264400,7445487,,,"Y","Aerated Lagoon",""
12893,"48001012001",1182883,"TX",1517,"1","IV-A","Documented",1804898,1849890,,,"N","Other",""
12895,"48001012001",1182883,"TX",1517,"1","III-B","Documented",5561473,5700109,,,"N","",""
12467,"48020780001",428136,"TX",1517,"1","III-B","Documented",3653500,3744574,,,"N","Lagoon",""
15423,"48007465001",1184088,"TX",1517,"1","I","Documented",48491510,49700306,,,"N","",""
16756,"48003033002",1183197,"TX",5419,"1","I","Documented",83428000,79026223,,,"N","Secondary Mechanical",""
20053,"48004044001",1183363,"TX",5419,"1","III-B","Documented",6175000,5849198,,,"Y","",""
13613,"48001027001",1182895,"TX",5419,"1","I","Documented",5000000,4736193,,,"N","Aerated Lagoon",""
13695,"48000000104",3608872,"TX",5327,"1","III-B","Documented",5510000,5947332,,,"N","Not Applicable",""
14325,"48001139001",1182942,"TX",1517,"1","I","Documented",4525000,4637799,,,"N","",""
14326,"48005060001",1183612,"TX",1517,"1","I","Documented",110000,112742,,,"Y","",""
14327,"48005060001",1183612,"TX",1517,"1","III-B","Documented",3579000,3668217,,,"Y","",""
14385,"48000000106",3608999,"TX",1517,"1","I","Documented",15786000,16179513,,,"N","",""
20044,"48003267001",1183304,"TX",5419,"1","III-A","Documented",10600000,10040729,,,"Y","",""
20048,"48004226001",1183477,"TX",5419,"1","III-A","Documented",943750,893956,,,"Y","",""
20046,"48001123001",1182925,"TX",5419,"1","III-B","Documented",6475000,6133370,,,"Y","",""
17738,"48009002001",1184466,"TX",5419,"1","III-A","Documented",2500000,2368097,,,"Y","",""
18431,"48003026001",1183188,"TX",5419,"1","I","Documented",11425000,10822201,,,"Y","",""
18387,"48003098001",1183245,"TX",5419,"1","I","Documented",9735000,9221368,,,"N","",""
18367,"48004217001",1183470,"TX",5419,"1","I","Documented",7869150,7453963,,,"N","",""
20921,"48001130001",1182933,"TX",5419,"1","I","Documented",400000,378895,,,"N","",""
23721,"48004026002",1183344,"TX",5419,"1","IV-B","Documented",27000000,25575443,,,"Y","",""
16689,"48003033500",3514842,"TX",5419,"1","VI-B","Documented",85089042,80599627,,,"","",""
25720,"48009024001",1184483,"TX",5327,"1","IV-B","Documented",1506800,1626396,,,"Y","",""
20227,"48004354501",3507298,"TX",1517,"1","III-A","Documented",29982000,30729391,,,"Y","",""
21438,"48004142001",1183452,"TX",5419,"1","III-B","Documented",9549995,9046124,,,"N","",""
20196,"48003098001",1183245,"TX",1517,"1","X","Documented",4300000,4407190,,,"","",""
15234,"48005015002",1183577,"TX",6130,"3","III-B","Documented",250000000,270043799,,,"Y","Not Applicable",""
17974,"48003070001",1227812,"TX",5419,"1","I","Documented",1399345,1325514,,,"N","",""
17471,"48002028001",1183123,"TX",5419,"1","I","Documented",12140000,11499477,,,"Y","",""
22225,"48001109001",1182914,"TX",5419,"1","III-A","Documented",2584761,2448385,,,"N","",""
56451,"48000000334",3611054,"TX",9680,"53","VII-A","NPS: Agriculture",,508669,,,"","",""
56454,"48000000337",3611057,"TX",9680,"53","VII-A","NPS: Agriculture",,3162936,,,"","",""
56459,"48000000342",3611066,"TX",9680,"53","VII-A","NPS: Agriculture",,4863541,,,"","",""
56464,"48000000347",3611071,"TX",9832,"53","VII-A","NPS: Agriculture",,2710661,,,"","",""
17691,"48007410001",1184064,"TX",5419,"1","I","Documented",1895000,1795017,,,"N","",""
15561,"48003084001",1183235,"TX",5419,"1","II","Documented",39883000,37778718,,,"N","",""
15562,"48003084001",1183235,"TX",5419,"1","III-B","Documented",6749000,6392913,,,"Y","",""
21987,"48000000165",3610547,"TX",1517,"1","I","Documented",7500000,7686960,,,"N","",""
26356,"48002040001",1227786,"TX",5327,"1","I","Documented",5640800,6088514,,,"N","",""
26357,"48002040001",1227786,"TX",5327,"1","IV-A","Documented",4759200,5136941,,,"N","",""
20743,"48001162001",1182958,"TX",1517,"1","III-A","Documented",9889000,10135513,,,"N","",""
22465,"48000000172",3610632,"TX",1517,"1","I","Documented",3850000,3945973,,,"N","",""
23751,"48001046001",1182901,"TX",1517,"1","III-B","Documented",400000,409971,,,"N","",""
23957,"48007028001",1183808,"TX",5419,"1","III-B","Documented",26296000,24908587,,,"Y","",""
15535,"48000000113",3609250,"TX",1517,"1","I","Documented",27190000,27867792,,,"N","",""
15536,"48000000113",3609250,"TX",1517,"1","IV-B","Documented",14025000,14374615,,,"N","",""
17742,"48004096001",1183404,"TX",5419,"1","III-A","Documented",1000000,947239,,,"Y","",""
56425,"48000000328",3611032,"TX",9680,"53","VII-A","NPS: Agriculture",,2263055,,,"","",""
56433,"48000000278",3610976,"TX",9680,"53","VII-A","NPS: Agriculture",,458064,,,"","",""
26388,"48007424001",1184069,"TX",5327,"1","I","Documented",7000000,7555595,,,"N","",""
16745,"48003033016",3514807,"TX",5419,"1","IV-B","Documented",59303000,56174092,,,"N","",""
21326,"48009075001",1184498,"TX",1517,"1","I","Documented",395000,404847,,,"N","",""
21344,"48000000133",3610460,"TX",1517,"1","I","Documented",292500,299791,,,"N","",""
35644,"48007039035",1183836,"TX",12305,"20","I","Documented",36033889,34189942,,,"N","",""
35645,"48007039035",1183836,"TX",12305,"20","III-B","Documented",37687917,35759329,,,"Y","",""
35698,"48007039025",1183834,"TX",12305,"20","I","Documented",36033889,34189942,,,"N","",""
35699,"48007039025",1183834,"TX",12305,"20","III-B","Documented",37687917,35759329,,,"Y","",""
20009,"48001257001",1183030,"TX",5419,"1","I","Documented",1084000,1026807,,,"N","",""
20011,"48000000127",3610296,"TX",5419,"1","I","Documented",30600000,28985502,,,"N","",""
21228,"48000240001",1227753,"TX",1517,"1","X","Documented",7762000,7955491,,,"","",""
21264,"48001243001",1183021,"TX",1517,"1","V","Documented",1710590,1753232,,,"","",""
21271,"48000000132",3610453,"TX",1517,"1","I","Documented",1100000,1127421,,,"N","",""
17967,"48004145001",1183454,"TX",5419,"1","I","Documented",4302000,4075021,,,"N","",""
21590,"48001135001",1182939,"TX",5419,"1","III-B","Documented",2878000,2726153,,,"N","",""
22365,"48002025002",453323,"TX",5419,"1","XII","Documented",1000000,947239,,,"","",""
56486,"48000000371",3611118,"TX",9832,"53","VII-A","NPS: Agriculture",,890918,,,"","",""
56488,"48000000373",3611120,"TX",9832,"53","VII-A","NPS: Agriculture",,3846950,,,"","",""
56492,"48000000378",3611128,"TX",9832,"53","VII-A","NPS: Agriculture",,4552626,,,"","",""
56497,"48000000385",3611141,"TX",9832,"53","VII-A","NPS: Agriculture",,4792582,,,"","",""
56498,"48000000386",3611142,"TX",9832,"53","VII-A","NPS: Agriculture",,208771,,,"","",""
18268,"48000000123",3609624,"TX",5419,"1","IV-A","Documented",17846300,16904705,,,"N","",""
17784,"48004323001",1183510,"TX",5419,"1","I","Documented",3100000,2936440,,,"N","",""
17812,"48001218002",1182998,"TX",6612,"1","I","Documented",5354000,5867158,,,"Y","",""
17950,"48001127001",1182930,"TX",5419,"1","I","Documented",65535401,62077663,,,"Y","",""
17951,"48001127001",1182930,"TX",5419,"1","III-B","Documented",25500003,24154588,,,"Y","",""
25991,"48002016001",1183115,"TX",5327,"1","IV-A","Documented",4097000,4422182,,,"Y","Aerated Lagoon",""
25194,"48001044001",3268716,"TX",5419,"1","I","Documented",2965000,2808563,,,"N","",""
25195,"48001044001",3268716,"TX",5419,"1","III-B","Documented",400000,378895,,,"N","",""
25202,"48005075002",1183625,"TX",1517,"1","III-B","Documented",5809050,5953858,,,"Y","",""
17803,"48005081001",1183631,"TX",5419,"1","I","Documented",3300000,3125887,,,"N","",""
18193,"48005071001",1183620,"TX",5419,"1","I","Documented",500000,473619,,,"N","",""
56519,"48000000319",3611023,"TX",9680,"53","VII-A","NPS: Agriculture",,284586,,,"","",""
25725,"48004354017",3534356,"TX",5327,"1","I","Documented",75175000,81141691,,,"N","",""
26382,"48008150001",1184447,"TX",5327,"1","IV-A","Documented",210000,226668,,,"N","",""
17472,"48006029001",1183700,"TX",5419,"1","I","Documented",5640962,5343337,,,"N","Aerated Lagoon",""
17502,"48006035001",1183702,"TX",5419,"1","I","Documented",8562354,8110592,,,"N","",""
17686,"48000000115",3609565,"TX",1517,"1","I","Documented",26405000,27063224,,,"N","",""
16289,"48004372001",1183540,"TX",6517,"1","III-B","Documented",50760,57857,,,"N","",""
15353,"48000000109",3609163,"TX",5419,"1","IV-A","Documented",809325,766624,,,"N","",""
15403,"48006043002",1183706,"TX",1517,"1","II","Documented",69449223,71180453,,,"N","",""
15404,"48006043002",1183706,"TX",1517,"1","III-B","Documented",3362500,3446320,,,"N","",""
15603,"48002008001",1183111,"TX",5419,"1","I","Documented",35600000,33721695,,,"N","",""
15526,"48001007004",1182877,"TX",5419,"1","II","Documented",13388000,12681631,,,"N","",""
17441,"48004098001",1183405,"TX",5419,"1","IV-B","Documented",28594500,27085815,,,"N","",""
21217,"48001028001",1182896,"TX",1517,"1","I","Documented",2567386,2631386,,,"N","",""
21235,"48004223001",1183475,"TX",1517,"1","III-A","Documented",3875906,3972525,,,"Y","",""
21317,"48001238001",1183017,"TX",1517,"1","I","Documented",47500,48684,,,"N","",""
18284,"48002001001",1183105,"TX",5419,"1","I","Documented",19641253,18604953,,,"N","",""
18384,"48007305001",1184059,"TX",5419,"1","I","Documented",10350000,9803920,,,"N","",""
19155,"48009039001",1184488,"TX",5419,"1","II","Documented",7767517,7357692,,,"N","",""
22001,"48000115001",1227740,"TX",1517,"1","I","Documented",6000000,6149568,,,"N","",""
17369,"48001131003",1182937,"TX",5419,"1","III-A","Documented",11939795,11309835,,,"N","",""
21701,"48000000163",3610517,"TX",1517,"1","I","Documented",2922500,2995352,,,"N","",""
23647,"48001217001",1227773,"TX",5419,"1","I","Documented",7000000,6630670,,,"Y","",""
23679,"48000000162",3610515,"TX",5419,"1","I","Documented",657500,622809,,,"N","",""
23680,"48000000162",3610515,"TX",5419,"1","III-B","Documented",657500,622809,,,"N","",""
23710,"48004026001",1183343,"TX",5419,"1","I","Documented",20000000,18944772,,,"Y","",""
23711,"48004026001",1183343,"TX",5419,"1","III-B","Documented",66000000,62517749,,,"Y","",""
16283,"48001125002",1182928,"TX",5419,"1","I","Documented",75600000,71611240,,,"N","Secondary Mechanical",""
22259,"48004085001",2878621,"TX",1517,"1","III-A","Documented",4833460,4953948,,,"N","",""
26482,"48000000404",3611321,"TX",5327,"1","I","Documented",17025000,18376286,,,"N","",""
26483,"48000000404",3611321,"TX",5327,"1","IV-B","Documented",3715000,4009862,,,"N","",""
56524,"48000000324",3611028,"TX",9680,"53","VII-A","NPS: Agriculture",,27473173,,,"","",""
56529,"48000000295",3610997,"TX",9680,"53","VII-A","NPS: Agriculture",,2461182,,,"","",""
56536,"48000000303",3611005,"TX",9680,"53","VII-A","NPS: Agriculture",,736114,,,"","",""
23739,"48000000121",3609620,"TX",1517,"1","I","Documented",12620000,12934591,,,"N","",""
23740,"48000005007",1227738,"TX",5419,"1","I","Documented",24791000,23482993,,,"N","",""
23741,"48000005007",1227738,"TX",5419,"1","III-B","Documented",6400000,6062327,,,"N","",""
16488,"48001125002",1182928,"TX",5419,"1","III-B","Documented",38990000,36932834,,,"N","",""
20008,"48001151001",1182954,"TX",5419,"1","IV-A","Documented",7861000,7446243,,,"N","",""
15406,"48008069001",1184411,"TX",5419,"1","I","Documented",64000000,60623272,,,"N","",""
16789,"48003033005",1183199,"TX",1517,"1","IV-B","Documented",63552000,65136224,,,"Y","",""
21875,"48008028001",1184372,"TX",5419,"1","I","Documented",26340000,24950265,,,"N","",""
17350,"48004261001",1227861,"TX",5419,"1","III-A","Documented",10065282,9534224,,,"Y","",""
20769,"48004057001",1183374,"TX",1517,"1","I","Documented",29593636,30331346,,,"N","",""
20716,"48001217001",1227773,"TX",5419,"1","III-A","Documented",22650000,21454955,,,"Y","",""
20988,"48003032001",1183195,"TX",1517,"1","III-A","Documented",10997000,11271133,,,"Y","",""
56421,"48000000269",3610967,"TX",9680,"53","VII-A","NPS: Agriculture",,246118,,,"","",""
56427,"48000000274",3610972,"TX",9680,"53","VII-A","NPS: Agriculture",,8971735,,,"","",""
56429,"48000000277",3610975,"TX",9680,"53","VII-A","NPS: Agriculture",,751613,,,"","",""
56430,"48000000329",3611033,"TX",9680,"53","VII-A","NPS: Agriculture",,2466784,,,"","",""
56431,"48000000330",3611034,"TX",9680,"53","VII-A","NPS: Agriculture",,4984360,,,"","",""
56456,"48000000339",3611063,"TX",9680,"53","VII-A","NPS: Agriculture",,21101,,,"","",""
56457,"48000000340",3611064,"TX",9680,"53","VII-A","NPS: Agriculture",,2117400,,,"","",""
21219,"48007180001",1183984,"TX",1517,"1","IV-A","Documented",2137921,2191215,,,"N","",""
15701,"48004052001",1183370,"TX",5419,"1","II","Documented",34247545,32440597,,,"N","",""
20038,"48001107003",412991,"TX",5419,"1","III-B","Documented",6083000,5762053,,,"N","",""
56250,"48000000134",3610478,"TX",8560,"53","VII-A","NPS: Agriculture",,4778016,,,"","",""
37616,"48003033016",3514807,"TX",13485,"20","I","Documented",5742126,5836773,,,"N","",""
37705,"48003033002",1183197,"TX",13485,"20","I","Documented",320401116,325682268,,,"N","",""
20110,"48005078001",1183627,"TX",1517,"1","III-A","Documented",5617000,5757021,,,"N","",""
21858,"48008028004",1184374,"TX",5419,"1","I","Documented",26340000,24950265,,,"N","",""
21959,"48001151006",3516498,"TX",5419,"1","I","Documented",74800000,70853449,,,"N","",""
35532,"48007039076",1183846,"TX",12305,"20","I","Documented",36033889,34189942,,,"N","",""
35533,"48007039076",1183846,"TX",12305,"20","III-B","Documented",37687917,35759329,,,"Y","",""
35601,"48007080001",1183904,"TX",12305,"20","I","Documented",36033889,34189942,,,"N","",""
35602,"48007080001",1183904,"TX",12305,"20","III-B","Documented",37687917,35759329,,,"Y","",""
35656,"48007039067",2883822,"TX",12305,"20","I","Documented",36033889,34189942,,,"N","",""
35657,"48007039067",2883822,"TX",12305,"20","III-B","Documented",37687917,35759329,,,"Y","",""
35675,"48007039084",1183851,"TX",12305,"20","I","Documented",36033889,34189942,,,"N","",""
35676,"48007039084",1183851,"TX",12305,"20","III-B","Documented",37687917,35759329,,,"Y","",""
35677,"48007039102",2883840,"TX",12305,"20","I","Documented",36033889,34189942,,,"N","",""
35678,"48007039102",2883840,"TX",12305,"20","III-B","Documented",37687917,35759329,,,"Y","",""
35706,"48007039101",3272948,"TX",12305,"20","I","Documented",36033889,34189942,,,"N","",""
35707,"48007039101",3272948,"TX",12305,"20","III-B","Documented",37687917,35759329,,,"Y","",""
56415,"48000000263",3610961,"TX",9680,"53","VII-A","NPS: Agriculture",,334444,,,"","",""
56417,"48000000265",3610963,"TX",9680,"53","VII-A","NPS: Agriculture",,13686448,,,"","",""
56420,"48000000268",3610966,"TX",9680,"53","VII-A","NPS: Agriculture",,3455925,,,"","",""
35660,"48007039082",1183850,"TX",12305,"20","I","Documented",36033889,34189942,,,"N","",""
35661,"48007039082",1183850,"TX",12305,"20","III-B","Documented",37687917,35759329,,,"Y","",""
19990,"48005020002",1227871,"TX",1517,"1","I","Documented",5790000,5934333,,,"N","",""
27451,"48006066002",1183724,"TX",5327,"1","III-B","Documented",525300,566993,,,"N","",""
51948,"48000000439",3613900,"TX",18974,"101d","XII","Decentralized",,75621590,,,"","","Y"
52144,"48000000449",3613913,"TX",18974,"101d","XII","Decentralized",,25880570,,,"","","Y"
52148,"48000000453",3613932,"TX",18974,"101d","XII","Decentralized",,21628887,,,"","","Y"
52151,"48000000455",3613935,"TX",18974,"101d","XII","Decentralized",,17734749,,,"","","Y"
52155,"48000000462",3613944,"TX",18974,"101d","XII","Decentralized",,9571134,,,"","","Y"
52156,"48000000463",3613945,"TX",18974,"101d","XII","Decentralized",,281504,,,"","","Y"
52160,"48000000468",3613950,"TX",18974,"101d","XII","Decentralized",,37909198,,,"","","Y"
52167,"48000000476",3613960,"TX",18974,"101d","XII","Decentralized",,140752,,,"","","Y"
52171,"48000000480",3613964,"TX",18974,"101d","XII","Decentralized",,23317889,,,"","","Y"
52174,"48000000484",3614043,"TX",18974,"101d","XII","Decentralized",,147918878,,,"","","Y"
52200,"48000000493",3614053,"TX",18974,"101d","XII","Decentralized",,150470126,,,"","","Y"
52208,"48000000497",3614057,"TX",18974,"101d","XII","Decentralized",,61086356,,,"","","Y"
52243,"48001057001",3515316,"TX",18974,"101d","XII","Decentralized",,1876693,,,"","","Y"
52403,"48000000527",3614091,"TX",18974,"101d","XII","Decentralized",,14356701,,,"","","Y"
52476,"48000000533",3614098,"TX",18974,"101d","XII","Decentralized",,143136754,,,"","","Y"
52509,"48000000534",3614099,"TX",18974,"101d","XII","Decentralized",,6990681,,,"","","Y"
52523,"48000000536",3614111,"TX",18974,"101d","XII","Decentralized",,1595189,,,"","","Y"
25201,"48005075002",1183625,"TX",5419,"1","I","Documented",11345000,10746422,,,"Y","",""
26361,"48001204001",1182983,"TX",5327,"1","I","Documented",47500,51270,,,"N","",""
37230,"48004026002",1183344,"TX",13250,"20","IV-B","Documented",120000000,113668634,,,"N","",""
55962,"48004026801",3507483,"TX",19833,"20","VI-C","Documented",2643066,2493499,,,"","",""
16280,"48001125005",3515818,"TX",5419,"1","I","Documented",12960000,12276213,,,"N","Secondary Mechanical",""
16492,"48001125001",1182927,"TX",5419,"1","IV-A","Documented",29000000,27469920,,,"N","",""
38249,"48000000411",3612390,"TX",13809,"20","VII-K","Documented",84135670,85522473,,,"","",""
20065,"48008045001",1184392,"TX",5419,"1","I","Documented",10396000,9847493,,,"N","",""
18194,"48005071001",1183620,"TX",5419,"1","III-B","Documented",2330000,2207066,,,"N","",""
20050,"48001296001",1183045,"TX",5419,"1","I","Documented",580000,549398,,,"N","",""
20051,"48001124001",1182926,"TX",5419,"1","III-B","Documented",3347000,3170408,,,"Y","",""
17982,"48009045001",1184491,"TX",5419,"1","III-B","Documented",1400000,1326134,,,"N","",""
18197,"48004094001",1227847,"TX",5419,"1","I","Documented",17770155,16832577,,,"N","",""
17789,"48001117001",1182918,"TX",5419,"1","I","Documented",12221000,11576203,,,"N","",""
18188,"48001130001",1182933,"TX",5419,"1","III-B","Documented",4493000,4255943,,,"N","",""
56550,"48000000285",3610986,"TX",9680,"53","VII-A","NPS: Agriculture",,4222663,,,"","",""
56554,"48000000288",3610990,"TX",9680,"53","VII-A","NPS: Agriculture",,4733200,,,"","",""
56520,"48000000320",3611024,"TX",9680,"53","VII-A","NPS: Agriculture",,1857651,,,"","",""
52224,"48000000512",3614073,"TX",18974,"101d","XII","Decentralized",,33858779,,,"","","Y"
52231,"48000000519",3614080,"TX",18974,"101d","XII","Decentralized",,195081858,,,"","","Y"
37718,"48003033005",1183199,"TX",13485,"20","I","Documented",36879847,37487735,,,"N","",""
37719,"48003033005",1183199,"TX",13485,"20","X","Documented",200000,203297,,,"","",""
37224,"48004026002",1183344,"TX",13250,"20","I","Documented",32000000,30311636,,,"N","",""
37324,"48004026002",1183344,"TX",13250,"20","III-B","Documented",47450000,44946472,,,"N","",""
52143,"48000000447",3613911,"TX",18974,"101d","XII","Decentralized",,1079098,,,"","","Y"
52147,"48000000452",3613931,"TX",18974,"101d","XII","Decentralized",,37909198,,,"","","Y"
52162,"48000000470",3613952,"TX",18974,"101d","XII","Decentralized",,16514898,,,"","","Y"
52165,"48000000473",3613957,"TX",18974,"101d","XII","Decentralized",,25616859,,,"","","Y"
